rank,feature,coef,abs_coef
573,N19,0.09536968,0.09536968
574,J96,-0.09432218,0.09432218
575,Z79,0.094206944,0.094206944
576,R33,-0.09389898,0.09389898
577,T86,-0.093890294,0.093890294
578,S33,-0.093865745,0.093865745
579,I13,-0.093728825,0.093728825
580,S20,0.09356201,0.09356201
581,S39,-0.092593886,0.092593886
582,S50,-0.09211767,0.09211767
583,S66,-0.09208733,0.09208733
584,A63,-0.09182309,0.09182309
585,G47,-0.09180216,0.09180216
586,Z32,0.0914401,0.0914401
587,E46,-0.09113239,0.09113239
588,O36,0.0903363,0.0903363
589,I72,-0.08976105,0.08976105
590,R78,0.08936812,0.08936812
591,K02,-0.088491835,0.088491835
592,K22,-0.08846796,0.08846796
593,A41,-0.08674248,0.08674248
594,S36,-0.08659628,0.08659628
595,E64,-0.08580447,0.08580447
596,K29,-0.0855638,0.0855638
597,M41,-0.085240126,0.085240126
598,N80,-0.08500678,0.08500678
599,H10,-0.083610795,0.083610795
600,R35,-0.08343068,0.08343068
601,C90,-0.08333509,0.08333509
602,R73,-0.08222525,0.08222525
603,T81,-0.08122871,0.08122871
604,R55,-0.08117777,0.08117777
605,S05,-0.081037395,0.081037395
606,L02,0.08090375,0.08090375
607,G40,0.08090069,0.08090069
608,K72,-0.08082756,0.08082756
609,R82,-0.080009,0.080009
610,E13,0.077789396,0.077789396
611,T45,-0.0773715,0.0773715
612,I86,-0.077325344,0.077325344
613,K52,-0.077143334,0.077143334
614,G25,0.07684382,0.07684382
615,T83,0.076552525,0.076552525
616,L27,-0.07649579,0.07649579
617,Q27,-0.075669944,0.075669944
618,F20,0.075533465,0.075533465
619,R15,-0.07489242,0.07489242
620,N39,-0.07487389,0.07487389
621,B96,-0.07480395,0.07480395
622,F12,-0.074692205,0.074692205
623,S67,-0.074682795,0.074682795
624,I50,0.07435173,0.07435173
625,I27,0.07364973,0.07364973
626,W22,-0.07361352,0.07361352
627,C81,-0.07307019,0.07307019
628,T20,-0.07249802,0.07249802
629,O20,-0.07248511,0.07248511
630,K70,-0.07204007,0.07204007
631,D37,-0.071968615,0.071968615
632,N76,-0.07170761,0.07170761
633,A31,-0.07155061,0.07155061
634,M81,-0.07069233,0.07069233
635,N75,-0.07031317,0.07031317
636,L25,-0.07022416,0.07022416
637,C62,-0.07008107,0.07008107
638,O71,-0.06961566,0.06961566
639,S22,-0.069391385,0.069391385
640,L89,0.069274366,0.069274366
641,S76,-0.069219105,0.069219105
642,L94,-0.06914299,0.06914299
643,F51,0.069120295,0.069120295
644,I95,-0.06905712,0.06905712
645,Z59,0.06890608,0.06890608
646,C51,-0.06886561,0.06886561
647,H57,-0.068792604,0.068792604
648,L60,-0.06870456,0.06870456
649,R58,-0.06845855,0.06845855
650,H93,-0.06776275,0.06776275
651,N29,-0.06736845,0.06736845
652,R16,0.06723556,0.06723556
653,G70,-0.067232564,0.067232564
654,C82,-0.06722495,0.06722495
655,B95,-0.067224555,0.067224555
656,F98,-0.06700976,0.06700976
657,H74,-0.06698373,0.06698373
658,D11,-0.06669708,0.06669708
659,N82,-0.06646305,0.06646305
660,R07,0.06618567,0.06618567
661,W03,-0.066025525,0.066025525
662,S56,-0.0660011,0.0660011
663,N34,0.065830566,0.065830566
664,Z13,-0.06579901,0.06579901
665,K58,0.06554115,0.06554115
666,R36,0.06549304,0.06549304
667,T65,0.06544252,0.06544252
668,K11,-0.06515245,0.06515245
669,E86,0.065031394,0.065031394
670,S69,-0.06494243,0.06494243
671,H71,-0.06467868,0.06467868
672,H52,-0.06467193,0.06467193
673,H21,-0.06418529,0.06418529
674,M51,0.06394507,0.06394507
675,L71,-0.0639145,0.0639145
676,L92,-0.06370488,0.06370488
677,K23,-0.06364557,0.06364557
678,Q79,-0.063609384,0.063609384
679,T15,-0.06359418,0.06359418
680,N65,-0.06352987,0.06352987
681,N12,-0.06351314,0.06351314
682,Z18,-0.06351072,0.06351072
683,C7A,-0.06349238,0.06349238
684,F70,-0.06348278,0.06348278
685,G72,0.06342133,0.06342133
686,O64,-0.06336621,0.06336621
687,K38,-0.063322306,0.063322306
688,L21,-0.0631845,0.0631845
689,D61,-0.06313745,0.06313745
690,T16,-0.063132316,0.063132316
691,T31,-0.06301352,0.06301352
692,Q65,-0.06300505,0.06300505
693,G54,0.06300153,0.06300153
694,B07,-0.06296952,0.06296952
695,W50,-0.062870905,0.062870905
696,V28,-0.06281118,0.06281118
697,V18,-0.06270465,0.06270465
698,F72,-0.06265675,0.06265675
699,G04,-0.06258198,0.06258198
700,H54,-0.062518574,0.062518574
701,K20,-0.062500134,0.062500134
702,O28,0.06249822,0.06249822
703,B02,-0.06246104,0.06246104
704,R04,-0.062458433,0.062458433
705,R19,-0.062186286,0.062186286
706,D73,0.062152594,0.062152594
707,Q87,-0.062115274,0.062115274
708,J70,-0.062100448,0.062100448
709,I69,-0.06202884,0.06202884
710,I36,-0.061947852,0.061947852
711,M48,0.061883666,0.061883666
712,R57,-0.06176266,0.06176266
713,A59,0.06152282,0.06152282
714,G06,0.06134791,0.06134791
715,M26,0.060700983,0.060700983
716,I81,-0.060694188,0.060694188
717,C69,-0.060118906,0.060118906
718,S08,-0.05990964,0.05990964
719,P59,-0.059845604,0.059845604
720,E87,-0.059829123,0.059829123
721,S51,-0.05974593,0.05974593
722,G96,-0.05927954,0.05927954
723,W01,-0.059123382,0.059123382
724,M92,-0.058742806,0.058742806
725,G99,0.058638282,0.058638282
726,S14,-0.05861462,0.05861462
727,S29,-0.05847825,0.05847825
728,S21,-0.05836472,0.05836472
729,R79,0.058343835,0.058343835
730,K13,0.058173157,0.058173157
731,T37,-0.058148295,0.058148295
732,R74,-0.057992637,0.057992637
733,Y07,0.057947226,0.057947226
734,N45,-0.057579443,0.057579443
735,I74,-0.057231307,0.057231307
736,R64,-0.056812897,0.056812897
737,J01,-0.056412652,0.056412652
738,P07,-0.05568912,0.05568912
739,M70,-0.055574752,0.055574752
740,N18,-0.05528336,0.05528336
741,Z87,0.054664247,0.054664247
742,S73,0.053365104,0.053365104
743,Z90,-0.0532061,0.0532061
744,R89,0.05310291,0.05310291
745,K59,0.052197434,0.052197434
746,T84,0.052044272,0.052044272
747,R05,-0.051871635,0.051871635
748,D63,0.05169493,0.05169493
749,Z38,-0.051671878,0.051671878
750,K30,-0.05085267,0.05085267
751,X83,-0.050636157,0.050636157
752,S16,-0.050603166,0.050603166
753,O9A,-0.049967237,0.049967237
754,V69,-0.049363516,0.049363516
755,S99,0.049263887,0.049263887
756,O82,-0.048676834,0.048676834
757,L53,-0.04775331,0.04775331
758,M62,-0.047071725,0.047071725
759,T76,-0.04680623,0.04680623
760,R39,-0.046696268,0.046696268
761,B37,0.04599133,0.04599133
762,J18,0.045959696,0.045959696
763,O41,-0.044934995,0.044934995
764,J20,0.044463426,0.044463426
765,S13,-0.044277385,0.044277385
766,J42,-0.044215746,0.044215746
767,D53,-0.04398133,0.04398133
768,L81,-0.04323625,0.04323625
769,K94,0.04317119,0.04317119
770,R29,-0.04304613,0.04304613
771,Q03,-0.043039948,0.043039948
772,I26,-0.04302778,0.04302778
773,T44,-0.04286769,0.04286769
774,K05,0.042768285,0.042768285
775,W06,0.042159773,0.042159773
776,J98,-0.042072907,0.042072907
777,I76,0.04198027,0.04198027
778,L04,-0.04196194,0.04196194
779,J80,0.041816093,0.041816093
780,W62,-0.04117655,0.04117655
781,T51,-0.040966168,0.040966168
782,S49,-0.04083482,0.04083482
783,M14,0.04067307,0.04067307
784,G71,0.040558934,0.040558934
785,T78,-0.040295415,0.040295415
786,Q43,-0.03939659,0.03939659
787,W05,0.03843476,0.03843476
788,Z42,-0.03790626,0.03790626
789,E83,0.03759253,0.03759253
790,G92,0.03755516,0.03755516
791,T39,-0.037450492,0.037450492
792,D68,0.03735456,0.03735456
793,C19,-0.037022993,0.037022993
794,E16,0.036431953,0.036431953
795,Z34,0.03595856,0.03595856
796,W19,-0.035087243,0.035087243
797,R63,-0.03507673,0.03507673
798,Z46,-0.033863828,0.033863828
799,D46,-0.032938793,0.032938793
800,T48,-0.03264133,0.03264133
801,E55,-0.032306433,0.032306433
802,E72,-0.03214652,0.03214652
803,O92,-0.032076992,0.032076992
804,Q10,-0.0318861,0.0318861
805,S88,0.03158886,0.03158886
806,N17,-0.03138846,0.03138846
807,F50,0.031249998,0.031249998
808,Q83,-0.03117832,0.03117832
809,H53,-0.030724863,0.030724863
810,F30,0.030651959,0.030651959
811,P04,0.030037211,0.030037211
812,S80,-0.029855663,0.029855663
813,L65,-0.029364808,0.029364808
